,client_id,date_order,quantity,sales_net,data_order_year_2017,data_order_year_2018,data_order_year_2019,data_order_quarter_1,data_order_quarter_2,data_order_quarter_3,data_order_quarter_4
24970962,1789411,2018-07-12,0.0,823.3908,0,1,0,0,0,1,0
2724039,1565770,2017-10-20,0.0010001111,189.87695,1,0,0,0,0,0,1
1808117,511577,2017-09-27,0.0054450496,90.39258,1,0,0,0,0,1,0
40153336,1143875,2018-12-31,0.011001223,21.191832,0,1,0,0,0,0,1
55100827,1782304,2019-06-24,0.0,24.012,0,0,1,0,1,0,0
60093027,87544,2019-08-20,0.00044449384,26.69656,0,0,1,0,0,1,0
13197523,1774745,2018-02-21,0.00033337035,82.6344,0,1,0,1,0,0,0
45917884,2105493,2019-03-11,0.00044449384,70.27328,0,0,1,1,0,0,0
28332646,538039,2018-08-20,0.0,135.0468,0,1,0,0,0,1,0
43180909,293465,2019-02-07,0.0,11.3988,0,0,1,1,0,0,0
52085273,1762807,2018-12-18,0.0,25.0056,0,1,0,0,0,0,1
52091697,2102849,2019-05-22,0.0,522.2196,0,0,1,0,1,0,0
47615497,469436,2019-03-28,0.00033337035,102.5478,0,0,1,1,0,0,0
45397473,887036,2019-03-05,0.0,209.7048,0,0,1,1,0,0,0
4483046,1543468,2017-11-16,0.0010001111,38.48544,1,0,0,0,0,0,1
22973588,20737,2018-06-21,0.000111123445,19.573,0,1,0,0,1,0,0
60829519,1279952,2019-08-22,0.002666963,234.6,0,0,1,0,0,1,0
40231897,514176,2019-01-02,0.0055561727,51.300465,0,0,1,1,0,0,0
47836314,2171309,2019-04-01,0.0,13.5516,0,0,1,0,1,0,0
53142884,1249090,2019-06-10,0.011001223,27.09078,0,0,1,0,1,0,0
5139213,211387,2017-11-22,0.0,2.2908,1,0,0,0,0,0,1
1715209,1526936,2017-10-20,0.0,46.782,1,0,0,0,0,0,1
14024283,1879989,2018-02-28,0.000111123445,541.489,0,1,0,1,0,0,0
61424740,2041677,2019-08-29,0.011001223,779.64124,0,0,1,0,0,1,0
3639039,522148,2017-10-18,0.0,13.8,1,0,0,0,0,0,1
63133977,605986,2019-09-18,0.0016668519,88.3476,0,0,1,0,0,1,0
24065702,887114,2018-07-06,0.055450607,102.590485,0,1,0,0,0,1,0
26527173,2011621,2018-08-01,0.000111123445,199.617,0,1,0,0,0,1,0
55857617,653079,2019-04-25,0.0,73.6092,0,0,1,0,1,0,0
27629201,1689920,2018-08-14,0.0,19.9548,0,1,0,0,0,1,0
19056077,767978,2018-04-30,0.011001223,17.900255,0,1,0,0,1,0,0
36861888,1772686,2018-11-13,0.00044449384,122.29008,0,1,0,0,0,0,1
2987651,1654344,2017-10-27,0.002666963,34.420513,1,0,0,0,0,0,1
49000263,1559577,2019-04-09,0.011001223,97.45284,0,0,1,0,1,0,0
30562762,417576,2018-09-11,0.0,0.2208,0,1,0,0,0,1,0
190826,888796,2017-09-27,0.0,8.28,1,0,0,0,0,1,0
54239321,1598155,2019-06-20,0.011001223,30.14196,0,0,1,0,1,0,0
14428707,77967,2018-02-06,0.0021113458,5.658,0,1,0,1,0,0,0
55878322,811568,2019-07-02,0.0,11.454,0,0,1,0,0,1,0
27066302,254140,2018-08-08,0.0,11.7576,0,1,0,0,0,1,0
